test_query,rank,split,similar_query,similarity_score
Herbalife® has been updated.,1,test,Update on Herbalife®,0.7624853
Herbalife® has been updated.,2,train,Herbalife,0.63451433
Herbalife® has been updated.,3,train,Herbalife® Supplement Liver Toxicity,0.49470717
Herbalife® has been updated.,4,val,Dietary Supplement Snake Oil,0.41700435
Herbalife® has been updated.,5,train,snake oil,0.41064763
Can eating Fruit & Nut Bars lead to an increase in weight?,1,test,Do Fruit & Nut Bars Cause Weight Gain?,0.94209325
Can eating Fruit & Nut Bars lead to an increase in weight?,2,val,Nuts Don't Cause Expected Weight Gain,0.63168454
Can eating Fruit & Nut Bars lead to an increase in weight?,3,train,Does Chocolate Cause Weight Gain?,0.5988523
Can eating Fruit & Nut Bars lead to an increase in weight?,4,train,Best Dried Fruit For Cholesterol,0.5698718
Can eating Fruit & Nut Bars lead to an increase in weight?,5,train,Bulking Up on Antioxidants,0.56649387
What can I do with chickpeas?,1,test,chickpeas,0.6279178
What can I do with chickpeas?,2,train,lima beans,0.44178283
What can I do with chickpeas?,3,train,U.S. Dry Bean Council,0.4350019
What can I do with chickpeas?,4,train,garbanzo beans,0.43280473
What can I do with chickpeas?,5,test,fava beans,0.41103554
Are chronic headaches caused by pork parasites?,1,test,Chronic Headaches and Pork Parasites,0.8977026
Are chronic headaches caused by pork parasites?,2,train,Brain Parasites in Meat,0.79672766
Are chronic headaches caused by pork parasites?,3,test,Chronic Headaches and Pork Tapeworms,0.77481604
Are chronic headaches caused by pork parasites?,4,train,brain parasites,0.68349296
Are chronic headaches caused by pork parasites?,5,train,USDA Parasite Game,0.6232395
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,1,val,How the Egg Board Designs Misleading Studies,0.58892035
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,2,test,Harvard Physicians’ Study II,0.5854426
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,3,train,One in a Thousand: Ending the Heart Disease Epidemic,0.5734637
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,4,test,Diabetes as a Disease of Fat Toxicity,0.5732077
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,5,train,What about Semmelweis and medicine's shameful handwashing history?,0.56624484
Combating common diseases goes beyond consuming an apple daily.,1,train,More Than an Apple a Day: Combating Common Diseases,0.77088696
Combating common diseases goes beyond consuming an apple daily.,2,test,More Than an Apple a Day: Combating Common Diseases,0.77088696
Combating common diseases goes beyond consuming an apple daily.,3,train,Food as Medicine: Preventing and Treating the Most Dreaded Diseases with Diet,0.59875727
Combating common diseases goes beyond consuming an apple daily.,4,train,Apple Peels Turn On Anticancer Genes,0.5804634
Combating common diseases goes beyond consuming an apple daily.,5,train,We Can End the Heart Disease Epidemic,0.57891655
What is the healthiest beverage to drink on an airplane?,1,test,Healthiest Airplane Beverage,0.8385707
What is the healthiest beverage to drink on an airplane?,2,train,The Healthiest Beverage,0.6354215
What is the healthiest beverage to drink on an airplane?,3,train,The Healthiest Beverage,0.6354215
What is the healthiest beverage to drink on an airplane?,4,train,"What do you drink, Dr. Greger?",0.6117168
What is the healthiest beverage to drink on an airplane?,5,train,chamomile tea,0.551285
What is veal?,1,test,veal,0.75180805
What is veal?,2,train,offal,0.46540248
What is veal?,3,val,processed meats,0.44008538
What is veal?,4,train,veal brains,0.43502143
What is veal?,5,train,venison,0.43200934
The mystery of the Apthous Ulcer has been solved.,1,test,Apthous Ulcer Mystery Solved,0.803254
The mystery of the Apthous Ulcer has been solved.,2,train,aphthous ulcers,0.6808442
The mystery of the Apthous Ulcer has been solved.,3,train,stomach ulcers,0.5488885
The mystery of the Apthous Ulcer has been solved.,4,val,Anti-inflammatory Life is a Bowl of Cherries,0.48090214
The mystery of the Apthous Ulcer has been solved.,5,train,hiatal hernia,0.47494072
The American Dental Association is an organization.,1,test,American Dental Association,0.8745815
The American Dental Association is an organization.,2,train,dental health,0.6278477
The American Dental Association is an organization.,3,train,Plant-Based Diets: Dental Health,0.5679871
The American Dental Association is an organization.,4,val,oral health,0.5410892
The American Dental Association is an organization.,5,train,periodontal disease,0.53270257
Evidence-based medicine is the practice of using evidence to inform medical decisions.,1,test,Evidence-based medicine,0.8309409
Evidence-based medicine is the practice of using evidence to inform medical decisions.,2,train,Evidence-Based Medicine or Evidence-Biased?,0.7706661
Evidence-based medicine is the practice of using evidence to inform medical decisions.,3,train,What Diet Should Physicians Recommend?,0.6340451
Evidence-based medicine is the practice of using evidence to inform medical decisions.,4,train,Lifestyle Medicine Is the Standard of Care for Prediabetes,0.6329021
Evidence-based medicine is the practice of using evidence to inform medical decisions.,5,train,Physicians Committee for Responsible Medicine,0.60791075
Are ultra-processed foods inherently unhealthy?,1,test,ultra-processed foods,0.61504585
Are ultra-processed foods inherently unhealthy?,2,train,Does Caramel Color Cause Cancer?,0.5518809
Are ultra-processed foods inherently unhealthy?,3,train,Food Manufacturers Get to Decide if Their Own Additives Are Safe,0.53950244
Are ultra-processed foods inherently unhealthy?,4,val,Why Deep Fried Foods May Cause Cancer,0.5204128
Are ultra-processed foods inherently unhealthy?,5,test,Is Caramel Color Carcinogenic?,0.5100057
Allergies have a connection to Alkylphenol Endocrine Disruptors.,1,train,Alkylphenol Endocrine Disruptors and Allergies,0.9193499
Allergies have a connection to Alkylphenol Endocrine Disruptors.,2,test,Alkylphenol Endocrine Disruptors and Allergies,0.91934985
Allergies have a connection to Alkylphenol Endocrine Disruptors.,3,val,Dietary Sources of Alkylphenol Endocrine Disruptors,0.7519772
Allergies have a connection to Alkylphenol Endocrine Disruptors.,4,test,How to Reduce Exposure to Alkylphenols Through Your Diet,0.6643013
Allergies have a connection to Alkylphenol Endocrine Disruptors.,5,train,Male Fertility and Dietary Pollutants,0.6503036
What are some foods that are beneficial for individuals with glaucoma?,1,test,Foods for Glaucoma,0.86041623
What are some foods that are beneficial for individuals with glaucoma?,2,train,Dietary Prevention of Age-Related Macular Degeneration,0.7662374
What are some foods that are beneficial for individuals with glaucoma?,3,train,Nutrition advice to counter the side-effects of glaucoma medications?,0.76302016
What are some foods that are beneficial for individuals with glaucoma?,4,train,Currant Treatment for Glaucoma,0.7370279
What are some foods that are beneficial for individuals with glaucoma?,5,val,Greens vs. Glaucoma,0.7342733
Apnea is a condition where a person temporarily stops breathing while sleeping.,1,test,apnea,0.62672377
Apnea is a condition where a person temporarily stops breathing while sleeping.,2,train,Optimal Sleep Duration,0.4634468
Apnea is a condition where a person temporarily stops breathing while sleeping.,3,train,lung health,0.42395312
Apnea is a condition where a person temporarily stops breathing while sleeping.,4,train,lung disease,0.4132713
Apnea is a condition where a person temporarily stops breathing while sleeping.,5,train,Two Kiwifruit an Hour Before Bedtime,0.4122212
What is Zoloft?,1,test,Zoloft,0.7669844
What is Zoloft?,2,val,Prozac,0.5714827
What is Zoloft?,3,train,antidepressants,0.5246472
What is Zoloft?,4,train,benzodiazepines,0.52397144
What is Zoloft?,5,test,serotonin,0.48595098
What is the purpose and role of chlorophyll in plants?,1,test,chlorophyll,0.6944667
What is the purpose and role of chlorophyll in plants?,2,val,lycopene,0.38875976
What is the purpose and role of chlorophyll in plants?,3,test,antinutrients,0.38081712
What is the purpose and role of chlorophyll in plants?,4,test,Human Neurotransmitters in Plants,0.380472
What is the purpose and role of chlorophyll in plants?,5,train,resveratrol,0.36144626
The Pritikin Puzzle has been solved.,1,test,The Answer to the Pritikin Puzzle,0.89034194
The Pritikin Puzzle has been solved.,2,train,Pritikin,0.48817638
The Pritikin Puzzle has been solved.,3,train,One in a Thousand: Ending the Heart Disease Epidemic,0.47573245
The Pritikin Puzzle has been solved.,4,train,Heart disease: there is a cure,0.4666382
The Pritikin Puzzle has been solved.,5,train,We Can End the Heart Disease Epidemic,0.46524525
Dr. Walter Willett is a doctor.,1,test,Dr. Walter Willett,0.88557434
Dr. Walter Willett is a doctor.,2,val,Dr. Walter Kempner,0.6252604
Dr. Walter Willett is a doctor.,3,train,Dr. Caldwell Esselstyn,0.5759311
Dr. Walter Willett is a doctor.,4,test,Harvard Physicians’ Study II,0.56130725
Dr. Walter Willett is a doctor.,5,train,Dr. William Clifford Roberts,0.5539714
The experiment was successfully taken from the laboratory to the race track.,1,test,Out of the Lab Onto the Track,0.5815521
The experiment was successfully taken from the laboratory to the race track.,2,train,Fast Food Tested for Carcinogens,0.33851832
The experiment was successfully taken from the laboratory to the race track.,3,train,Trans Fat in Animal Fat,0.3302456
The experiment was successfully taken from the laboratory to the race track.,4,train,Raisins vs. Energy Gels for Athletic Performance,0.32736313
The experiment was successfully taken from the laboratory to the race track.,5,train,Food Manufacturers Get to Decide if Their Own Additives Are Safe,0.3195199
Saturated fat is a nutrient that should not be consumed in excessive amounts.,1,test,Saturated Fat & Cancer Progression,0.6611512
Saturated fat is a nutrient that should not be consumed in excessive amounts.,2,val,The Saturated Fat Studies: Set Up to Fail,0.6523612
Saturated fat is a nutrient that should not be consumed in excessive amounts.,3,train,Lipotoxicity: How Saturated Fat Raises Blood Sugar,0.6353024
Saturated fat is a nutrient that should not be consumed in excessive amounts.,4,train,"Trans Fat, Saturated Fat, and Cholesterol: Tolerable Upper Intake of Zero",0.61172974
Saturated fat is a nutrient that should not be consumed in excessive amounts.,5,val,saturate fat,0.5573831
The duration for which a product can be stored without any deterioration in quality or safety.,1,test,shelf life,0.5931392
The duration for which a product can be stored without any deterioration in quality or safety.,2,train,The True Shelf-Life of Cooking Oils,0.43203363
The duration for which a product can be stored without any deterioration in quality or safety.,3,test,ultra-processed foods,0.42546302
The duration for which a product can be stored without any deterioration in quality or safety.,4,train,The True Shelf Life of Cooking Oils,0.42100805
The duration for which a product can be stored without any deterioration in quality or safety.,5,val,European Food Safety Authority,0.4010352
Salmon is a type of fish.,1,test,salmon,0.7103578
