test_query,most_similar_beir_queries,similarity_scores,max_similarity,mean_similarity
Herbalife® has been updated.,"['Update on Herbalife®', 'Herbalife', 'The Last Heart Attack: Perfect timing for the launch of NutritionFacts.org']",[0.9060497 0.7501653 0.5170367],0.9060497,0.1611515
Can eating Fruit & Nut Bars lead to an increase in weight?,"['Do Fruit & Nut Bars Cause Weight Gain?', 'Does Chocolate Cause Weight Gain?', ""Nuts Don't Cause Expected Weight Gain""]",[0.96162206 0.6800809  0.6630764 ],0.96162206,0.11710041
What can I do with chickpeas?,"['chickpeas', 'chia seeds', 'alfalfa sprouts']",[0.7098258  0.48350212 0.45180386],0.7098258,0.11052899
Are chronic headaches caused by pork parasites?,"['Chronic Headaches and Pork Parasites', 'Chronic Headaches and Pork Tapeworms', 'Pork Tapeworms on the Brain']",[0.93909824 0.86110985 0.660825  ],0.93909824,0.15413657
is a professor at Harvard University and also serves as the Chair of the Department of Nutrition at the Harvard T.H. Chan School of Public Health and Professor of Medicine at Harvard Medical School.,"['Academy of Nutrition and Dietetics', 'NutritionFacts.org: the first month', 'Welcome to NutritionFacts.org!']",[0.73897374 0.7269188  0.67100817],0.73897374,0.24588211
Combating common diseases goes beyond consuming an apple daily.,"['More Than an Apple a Day: Combating Common Diseases', 'More Than an Apple a Day: Combating Common Diseases', 'Nutrition Education in Medicine: a Doctor a Day Keeps the Apples Away']",[0.9167703 0.9167703 0.665528 ],0.9167703,0.19418524
What is the healthiest beverage to drink on an airplane?,"['Healthiest Airplane Beverage', 'The Healthiest Beverage', 'The Healthiest Beverage']",[0.9144778  0.71241367 0.71241367],0.9144778,0.16375755
What is veal?,"['veal', 'venison', 'veal brains']",[0.8483989  0.5911976  0.53737265],0.8483989,0.13308565
The mystery of the Apthous Ulcer has been solved.,"['Apthous Ulcer Mystery Solved', 'aphthous ulcers', 'stomach ulcers']",[0.88982123 0.69983345 0.5298752 ],0.88982123,0.1339214
The American Dental Association is an organization.,"['American Dental Association', 'dental health', 'American Public Health Association']",[0.91007656 0.6717159  0.55162495],0.91007656,0.07371629
Evidence-based medicine is the practice of using evidence to inform medical decisions.,"['Evidence-based medicine', 'Evidence-Based Medicine or Evidence-Biased?', 'medical education']",[0.80251646 0.6833459  0.42446327],0.80251646,0.0632118
Are ultra-processed foods inherently unhealthy?,"['ultra-processed foods', 'processed foods', 'Are Organic Foods Safer?']",[0.7899568 0.6244799 0.5794647],0.7899568,0.1397589
Allergies have a connection to Alkylphenol Endocrine Disruptors.,"['Alkylphenol Endocrine Disruptors and Allergies', 'Alkylphenol Endocrine Disruptors and Allergies', 'Dietary Sources of Alkylphenol Endocrine Disruptors']",[0.9380746  0.9380746  0.70091635],0.9380746,0.13641648
What are some foods that are beneficial for individuals with glaucoma?,"['Foods for Glaucoma', 'Dietary Treatment of Glaucoma', 'Foods for Macular Degeneration']",[0.9048945  0.8457094  0.79814315],0.9048945,0.17400472
Apnea is a condition where a person temporarily stops breathing while sleeping.,"['apnea', 'lung disease', 'emphysema']",[0.7951424  0.4184788  0.39704034],0.7951424,0.053605594
What is Zoloft?,"['Zoloft', 'benzodiazepines', 'Prozac']",[0.83081394 0.6217501  0.61682963],0.83081394,0.086597085
What is the purpose and role of chlorophyll in plants?,"['chlorophyll', 'How May Plants Protect Against Diabetes?', 'chlorination']",[0.74885494 0.51050264 0.46987122],0.74885494,0.08832862
The Pritikin Puzzle has been solved.,"['The Answer to the Pritikin Puzzle', 'Pritikin', 'prion disease']",[0.8959087  0.6795753  0.36381468],0.8959087,0.05867851
Dr. Walter Willett is a doctor.,"['Dr. Walter Willett', 'Dr. Walter Kempner', 'Dr. William Roberts']",[0.90801275 0.6201048  0.57646596],0.90801275,0.117720544
The experiment was successfully taken from the laboratory to the race track.,"['Out of the Lab Onto the Track', 'carnitine palmitoyl transferase', 'New Vitamin B12 Test']",[0.5566137  0.19758448 0.19429252],0.5566137,-0.0037035618
Saturated fat is a nutrient that should not be consumed in excessive amounts.,"['saturated fat', 'The Saturated Fat Studies: Set Up to Fail', 'saturate fat']",[0.78082633 0.68990326 0.6809401 ],0.78082633,0.13773139
The duration for which a product can be stored without any deterioration in quality or safety.,"['shelf life', 'The True Shelf Life of Cooking Oils', 'The True Shelf-Life of Cooking Oils']",[0.5662475  0.51721704 0.51239127],0.5662475,0.070812784
Salmon is a type of fish.,"['salmon', 'The Problem with Organic Salmon', 'Salmon May Be the Greatest Source of Dietary Pollutants']",[0.7977252  0.64854723 0.63298064],0.7977252,0.10329592
"Who gives better advice, pharmacists or health food store employees?","['Pharmacists Versus Health Food Store Employees: Who Gives Better Advice?', 'Bad Advice From Health Food Store Employees', 'Dangerous Advice From Health Food Store Employees']",[0.9692513 0.7148757 0.6726568],0.9692513,0.11463485
You can keep your hands warm by using citrus.,"['Keeping Your Hands Warm With Citrus', 'How Citrus Might Help Keep Your Hands Warm', 'cold hands']",[0.8919883  0.8662597  0.64199805],0.8919883,0.102927655
The actual benefit of diet versus drugs is the same.,"['The Actual Benefit of Diet vs. Drugs', 'Diet vs. Exercise for Weight Loss', 'Diet vs. Exercise: What’s More Important?']",[0.80045307 0.57315445 0.5425987 ],0.80045307,0.109081365
Psoriasis can be treated by adopting plant-based diets.,"['Plant-Based Diets for Psoriasis', 'psoriasis', 'Treating Asthma and Eczema With Plant-Based Diets']",[0.9036559  0.61470497 0.5751021 ],0.9036559,0.11844277
The norovirus is a type of virus.,"['norovirus', 'cancer viruses', 'poultry viruses']",[0.84495866 0.6181799  0.5775605 ],0.84495866,0.082716234
Is distilled fish oil free of toxins?,"['Is Distilled Fish Oil Toxin-Free?', 'DDT in Fish Oil Supplements', 'Is Fish Oil Just Snake Oil?']",[0.97290677 0.69518995 0.68445647],0.97290677,0.177552
Ergothioneine is a compound that is needed in the body.,"['Ergothioneine: A New Vitamin?', 'Ergothioneine: A New Vitamin?', 'ergothioneine']",[0.8241192  0.8241192  0.76648444],0.8241192,0.14289024
The process of altering genes through genetic manipulation.,"['genetic manipulation', 'mutation', 'GMO']",[0.72115135 0.47532988 0.45654196],0.72115135,0.08317468
The actual benefit of diet compared to drugs is what?,"['The Actual Benefit of Diet vs. Drugs', 'Diet vs. Exercise for Weight Loss', 'Diet vs. Exercise: What’s More Important?']",[0.9310475  0.64090675 0.6389129 ],0.9310475,0.1783287
Are there any subsidies available?,"['subsidies', 'Taxpayer Subsidies for Unhealthy Foods', 'Medicare']",[0.73692447 0.5355853  0.3564118 ],0.73692447,0.0547907
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,"['medical ethics', 'medical profession', 'medical education']",[0.7591367  0.45042062 0.44073877],0.7591367,0.02991546
The Philippines is a country.,"['philippines', 'Indonesia', 'Malaysia']",[0.6466172  0.4260146  0.39259008],0.6466172,0.037578993
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.","['Infectobesity: Adenovirus 36 and Childhood Obesity', 'adenovirus 36', 'Obesity-Causing Chicken Virus']",[0.95658565 0.7172818  0.5839059 ],0.95658565,0.10291447
Diet has the potential to prevent strokes.,"['Preventing Strokes with Diet', 'PREDIMED: Does Eating Nuts Prevent Strokes?', 'How to Prevent a Stroke']",[0.9299486  0.7195248  0.70584965],0.9299486,0.18154955
The study about womens health in Iowa is called Iowa Womens Health Study.,"['Iowa Women’s Health Study', ""women's health"", 'American Public Health Association']",[0.8331959 0.5164404 0.4526585],0.8331959,0.09424177
Dragon fruit is beneficial for your health.,"['Is Dragon Fruit Good For You?', 'Are Star Fruit Good For You?', 'The Healthiest Fruits']",[0.8968073  0.61326444 0.579863  ],0.8968073,0.2005952
Which vitamin supplements are worth taking?,"['Vitamin Supplements Worth Taking', 'multivitamins', 'vitamins']",[0.9386264 0.7132911 0.6847438],0.9386264,0.15871623
Peanut butter is being requested.,"['peanut butter', 'Is Peanut Butter Good for You?', 'butter']",[0.6651654 0.5633834 0.557157 ],0.6651654,0.14390595
What is the state of health in the uterus?,"['uterine health', 'reproductive health', 'endometrial health']",[0.78962165 0.6855453  0.6782113 ],0.78962165,0.11094048
What is benzene?,"['benzene', 'benzodiazepines', 'Benzene in Carrot Juice']",[0.7890722  0.5301701  0.51571774],0.7890722,0.113261804
Taro is being referred to.,"['taro', 'tarragon', 'miso']",[0.82382643 0.43978673 0.3787474 ],0.82382643,0.056901515
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.","['thiamine', 'Ergothioneine: A New Vitamin?', 'Ergothioneine: A New Vitamin?']",[0.6902277  0.49023658 0.49023652],0.6902277,0.16939124
What is Chanterelle mushrooms.,"['chanterelle mushrooms', 'oyster mushrooms', 'Mushrooms For Breast Cancer Prevention']",[0.83772105 0.5158178  0.49500394],0.83772105,0.091496095
The query of whether Milk and Mucus is a myth.,"['Is Milk and Mucus a Myth?', 'mucus', 'Childhood Constipation and Cow’s Milk']",[0.9458174  0.5968534  0.55862856],0.9458174,0.14546384
What is the healthiest sweetener?,"['The Healthiest Sweetener', ""What's the best low calorie sweetener?"", 'Is There a Safe, Low-Calorie Sweetener?']",[0.95134777 0.8515694  0.78039515],0.95134777,0.19042656
The red tea consists of what?,"['red tea', 'Red Tea, Honeybush, & Chamomile', 'tea']",[0.773196   0.71655357 0.6879612 ],0.773196,0.19430573
IGF-1 is an abbreviation referring to a certain query.,"['IGF-1', 'IGF-1 as One-Stop Cancer Shop', 'Protein Intake & IGF-1 Production']",[0.7883781  0.57214046 0.52321696],0.7883781,0.08936665
Fat toxicity is the underlying cause of diabetes.,"['Diabetes as a Disease of Fat Toxicity', 'Lipotoxicity: How Saturated Fat Raises Blood Sugar', 'Dioxins Stored in Our Own Fat May Increase Diabetes Risk']",[0.93456376 0.7541429  0.7120452 ],0.93456376,0.13340478
Molasses is being referred to.,"['molasses', 'grains', 'watercress']",[0.82917905 0.5264138  0.5029723 ],0.82917905,0.16913553
Mesquite is a type of tree or shrub.,"['mesquite', 'bristle cone pine', 'mesclun mix']",[0.66969264 0.35750002 0.35050255],0.66969264,0.06142604
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,"['oral intraepithelial neoplasia', 'oral cancer', 'tongue cancer']",[0.8735917  0.6107291  0.49805677],0.8735917,0.0472483
